book_id,title,author,isbn,publication_year,category,source,summary,openlibrary_key,gutenberg_id,google_books_id,text_available,text_source
b71eccf63351,Communication: Leader's Guide To Step-by-Step Effective Communication,"Paul Gerhardt, PhD.",9780359758081,2019,Communication,google_books,"This is perhaps the greatest tool ever developed to help leaders and employer of all-levels develop the much-needed communication skills that inspires people, lower employee turnover, and builds trust. Most people think they are good communicators. However, most problems occur because someone does not know what they do not know. In fact, it takes many times the time, effort and expenses to fix the damage done by poor communication than it does to communicate properly in the first place. This workbook breaks down key concepts in plain easy-to-read and easy-to-follow lessons to help you grow your communication skills. Read the short lessons, reflect, then build your skills by doing the short writing assignments at your own convenience. Dr. Paul Gerhardt has been teaching diversity and leadership skills since 2000 to thousands of leaders from many different organizations across the United States. Visit www.SupervisionEssentials.com for other great training products and leadership lessons.",,,MrCxDwAAQBAJ,,
82f18a37b665,Connecting: Person-Centered Therapy and Life,Edenilson Brandl,,2025,Communication,google_books,"This book is a compilation of studies and reflections on Person-Centered Therapy, a humanistic approach to psychotherapy that places the patient at the center of the therapeutic process. Person-Centered Therapy focuses on the whole person, considering their emotions, experiences and values, rather than simply treating specific symptoms. In this book, we explore how Person-Centered Therapy can be applied in a variety of clinical situations, from Autism Spectrum Disorder (ASD) to parental relationship issues and workplace conflicts. Each chapter addresses a specific area of therapy application, providing an overview of the topic, exploring concrete examples, and offering practical guidance. The aim of this book is to provide a deeper understanding of Person-Centered Therapy and its application in different contexts. Our authors are experienced practitioners who work with Person-Centered Therapy on a daily basis, and their work is based on years of research and practice. We hope this book will be useful for psychologists, therapists, and mental health professionals in general, as well as for patients seeking a deeper understanding of therapy and how it can help them to cope with their own challenges.",,,S8NmEQAAQBAJ,,
352f49220923,Conversational Intelligence: How Great Leaders Build Trust and Get Extraordinary Results,Judith E. Glaser,9781937134679,2013,Communication,curated_seed,,,,,,
5475f520b1a2,Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,9781260474183,2021,Communication,curated_seed,,,,,,
65b4c9b6d072,Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,9780143118442,2010,Communication,curated_seed,,,,,,
5e8db8b5b12a,Effective Communication,Neil Thompson,9781352002232,2018,Communication,google_books,"Communication is the basis of so much of what happens in the workplace and indeed in our private lives. Without effective communication our lives are so much the poorer and with so many more problems. This book, now in an updated third edition, is therefore an important and valuable resource for anyone where success in their work depends on the quality of their interactions, whether face to face, in writing or electronically. Divided into two parts, the book focuses first on theoretical insights to provide a firm basis of understanding and then on practice issues. Written in Neil Thompson's characteristically clear and accessible style, this important book provides an essential foundation for making sure that we are communicating with one another as effectively as possible.",,,tB1HEAAAQBAJ,,
ca7be358a506,Effective Communication,Aaron Paul,9781795627634,2019,Communication,google_books,"How to make your conversations more meaningful, speak confidently and stay in control of conversations at work and in relationship If you want to effectively communicate with your co-workers, employees, boss, family, and friends, then this book is for you! This book introduces you to the key tools and know-how that you need to effectively communicate in order to build stronger relationships and have better outcomes! What Will You Learn? How to make your communications fit for purpose What makes a meaningful conversation Benefits of effective communication Mindset for effective communication How to communicate effectively at work How to communicate effectively with kids Master negotiation communication strategies Effective communication in a relationship Effective conflict resolution communication The art of communication is essential to have for anyone to succeed in any field Effective communication requires sensitivity and lightness of touch, and you can learn how to develop all the skills you need so that others will want to engage with you and hear what you have to say. It is a skill like any other skill and once you learn about how to properly do it you'll see a lot of problems that you have in your life become less hectic therefore situations are more manageable. Even difficult messages can be delivered without needless pain and unpleasant reactions. All it takes is the know-how. Communicating effectively is a skill that takes time and practices for people to truly master. Many of us are not taught how to properly articulate ourselves and engage in conversation that accurately reflects our thoughts and opinions to the other person. This lack of understanding and skills can result in disputes, conflict, miscommunications, hurt feelings, and other side effects of poor communication skills. With proper practice and knowledge, however, these unwanted side effects can be completely avoided. The Most Comprehensive Guide for Building Better Relationships and Speak Confidently Order Effective communication and you will be armed with the knowledge and the skills that you need to become a more effective communicator and apply the techniques that you have learned in this book and start practicing them in your everyday life!",,,4SXGwQEACAAJ,,
66401f2b700d,Effective Communication,Richard Hawkins,9781719203517,2018,Communication,google_books,"All of us communicate. Whether it is with our family, friends or colleagues at the work, communication is something that all of us do as second nature. But whether we communicate effectively or not, well, that is something entirely different altogether. And yes, there is a difference between communicating and being and communicating EFFECTIVELY. Great communication skills can make a world of difference. When you are able to communicate effectively, you'll find that people understand you a lot better, you are able to build connections a lot easier and more opportunities start to happen to you at work because people are impressed by how well you can present yourself, your thoughts and ideas. At work, effective communication is what is going to be your ace in the hole on your path to success. Did you know that employers consider effective on-the-job communication skills as one of the most important skills any employee can have? That is what effective communication can do for you. Employees who can communicate well will find themselves rising within the ranks of a corporation far quicker than their peers, because this is a prized skill to have, a skill that is very often overlooked by many which is a huge mistake to make. The great news is, communication skills are something that everyone can improve on. All that is needed from you is commitment, time and lots of practice on your part as you build a foundation while you start to develop more effective communication skills as you progress. If you are ready to start improving your ability to effectively get your messages across in any situation in life, this book is what you need to help you get started. Your success in life and your ability to be able to converse well with others around you is how you build successful relationships that will help you reach further in all aspects of life, whether it may be family life, friendships, everyday encounters, work and even romance. Why? Because everything hinges on communication, that is why it is such an important life skill that everyone should and must develop, if they are not already doing so. This book is your opportunity to learn what it takes to be an effective communicator, how to overcome basic communication barriers and what you can do to start making a difference in the way you communicate in your life today.",,,uhnWtwEACAAJ,,
beeb6030507e,Effective Communication Skills,,9788776815981,2012,Communication,google_books,,,,uVOWRbn_zbgC,,
c69bd94ce896,Effective Communication Skills: Mastering the Art of Verbal and Nonverbal Communication,Jasper Caprese,,,Communication,google_books,"""Effective Communication Skills: Mastering the Art of Verbal and Nonverbal Communication"" is a comprehensive guide to improving communication skills in both personal and professional settings. The book covers the key concepts and techniques of both verbal and nonverbal communication, including active listening, body language, and the use of tone and word choice. The book provides readers with practical examples and exercises to help them develop and hone their communication skills. Additionally, the book offers tips and strategies for overcoming common barriers to effective communication, such as language and cultural differences. Written in an easy-to-understand style, this book is suitable for both beginners and those looking to improve their existing communication skills. It is an excellent resource for anyone looking to master the art of effective communication.",,,4cGpEAAAQBAJ,,
c692c33f5ee1,Effective Communication at Work,Vicki McLeod,9781646115921,2020,Communication,google_books,"Develop effective communication skills for the office—in-person and online In the digital age, as workers increasingly go remote, the ability to communicate clearly and effectively is—now more than ever—a highly desirable skill. Whether you talk, text, or email, Effective Communication at Work has everything you need to help boost your workplace performance and productivity. From honing listening to polishing speaking and writing skills, this essential guide delivers simple, powerful strategies and timely tips that can help you increase the impact of your business communication and correspondence both online and offline. Learn how to build stronger relationships and advance your career by mastering the art of effective communication. Effective Communication at Work includes: Expert advice—Get the latest tips for working and communicating in the digital world. Clarity is king—Discover a variety of effective communication styles and formats, including writing and speaking, with simplicity and accuracy. Cultivating relationships—Learn best practices for becoming a better human while working with others in an office environment, including mindfulness, empathy, diversity, and self-awareness. Gain a competitive edge by harnessing the power of effective communication.",,,7V4XEQAAQBAJ,,
6e20358fbf51,Effective Communication in Organisations,Michael Fielding,9780702166501,2006,Communication,google_books,"With a focus on outcomes-based education, this business communication manual caters to the needs of students of business communication at universities, technikons, and private colleges with updated information on writing e-mail messages and using the Internet. Adopting the premise that poor communication can cost an organization business and competitive status in the marketplace, this text focuses on refining and clarifying the products of communication within the company and with the public. Particular focus is paid to interpersonal conversation in small groups, formal meetings, and interviews; written clarity in internal business plans, e-mails, and memos; accessible materials for mass communication and public relations; and rules of basic grammar and punctuation. Examples of all mentioned tools are provided along with the theory and practice of their use.",,,2Z_vIcp9gaEC,,
5a30e88c7f09,Effective Communications,Dr James Seligman,9781326878177,2016,Communication,google_books,* The art of effective communication is described. * What is the theory and practice of effective communication. * Barriers and belief systems that create our opinions and how we express them. * Practical advice and examples. * Practice examples provided.,,,bPu9DQAAQBAJ,,
db87da883fb6,Effective Industrial Marketing,Peter M. Chisnall,,1977,Communication,google_books,,,,SxwUAQAAMAAJ,,
ca7ef6ac6ddf,Elements of Interpersonal Communication,John W. Keltner,,1973,Communication,google_books,,,,4m5EAAAAYAAJ,,
b6d0efc315f9,Explorations in Interpersonal Communication,Gerald R. Miller,,1976,Communication,google_books,"As interest in interpersonal communication grew among communication researchers during the late 70's, contemporary researchers in social psychology and sociology worked on the fields of personal perception, interpersonal attraction and non-verbal communication. The papers in this volume reflect the issues of concern to those researchers. 'Without exception, the contributors treat communication as it exists in the real world...This focus on research related to real problems, rather than to the study of communication in a vacuum is to be commended...the last article...is sufficiently interesting that it is like the end of a good movie...You will simply recommend it (and the entire book) to friends, as I am doing here.' -- Sou",,,pWMQAQAAIAAJ,,
0cdf7997a8e7,Handbook of Public Relations,Robert L. Heath,9780761912866,2001,Communication,google_books,"The Handbook of Public Relations is another in the series of communication handbooks which has distinguished SAGE Publications. Like its companion handbooks, it offers a comprehensive and detailed examination of the topic. It gives students, scholars, and practitioners a solid review of the status of the scholarly literature, stressing the role that public relations can play in building relationships between organizations, markets, audiences, and the public. The Handbook is divided into five sections. Section one defines the field, seeking to explain the role public relations play in society. Section two examines the state of the practice by delving into the cutting edge issues of management, ethics, gender, evaluation, public relations education, and media. Section three challenges academics and practitioners to identify the best practices that shape the daily activities of practitioners. Section four looks at the fascinating and daunting challenges the new communication technology pose for scholars and practitioners. Section five takes a global view, examining theories in international public relations as well as the trends in practice that will shape the field in the coming years. No other book in public relations is as comprehensive in its inclusion of authors and its coverage of academic research, theory, and best practices. Global in scope, the book′s contributors comprise an academic ""who′s who"" of the public relations discipline. The Handbook offers one-stop shopping for the best insights into the definition of the field of public relations, the practice, and best practices. It has substantial insights into the impact of new communication technologies and the global challenges of international public relations. A must-have reference for libraries and practitioners, the book also is ideal for upper level and graduate study of public relations.",,,y9KMo2g4B6QC,,
19a6060042a8,How to Win Friends and Influence People,Dale Carnegie,9780671027032,1936,Communication,curated_seed,,,,,,
f4d63421bd74,Improve Your Communication Skills,Alan Barker,9780749448226,2006,Communication,google_books,"The ability to communicate is one of the most important attributes needed to conduct business. Alan Barker's jargon-free guide shows how to get the message across every time, verbally and visually.",,,-0TrhyhtJZIC,,
29a832096e57,Interpersonal Communication,William Dean Brooks,,1980,Communication,google_books,,,,UYAgAQAAMAAJ,,
30703ac23930,Interpersonal Communication,Dennis R. Smith,,1985,Communication,google_books,,,,0vZGAAAAMAAJ,,
0edf8ee60c36,Interpersonal Communication,Philip Emmert,9780697042255,1984,Communication,google_books,,,,wToovPhqOKcC,,
fee44e4b1c0c,Interpersonal Communication,Julia T. Wood,9780534548391,1999,Communication,google_books,"This best-selling text by a leading voice in the field offers a distinct alternative to existing textbooks for the introductory course in interpersonal communication. This theoretically unified but pragmatic introduction to the concepts, principles, and skills of interpersonal communication in a multicultural society. This text consistently integrates ethics and issues of social diversity into coverage of both discussions and mastery of skills, and it shows how interpersonal communication theory and skills pertain to students' daily encounters with others. With unparalleled attention to social diversity and an emphasis on theories, research, and skills that are anchored in the field of communication, the new edition integrates Web and CD-ROM technology to provide interactive learning experiences for today's digital classroom.",,,6Zb2NG2ZXloC,,
c83b21c2ae08,Interpersonal Communication and Human Relationships,Mark L. Knapp,9780205414932,2005,Communication,google_books,"Perfect for reminders, calendar notes, homework notes, name tags, and much more! Each pad features 36 acid-free, lignin-free sheets and measures approx. 3.5” x 3.5”. Available in a variety of prints, notepads are an essential addition to any teacher's desk! --Illustrations (C) Dianne J. Hook Published by Carson-Dellosa Publishing, LLC (C) Carson-Dellosa Publishing, LLC",,,lOmJph7gEnUC,,
22b5f1bcd8a9,Introduction Interpersonal Communication,James C. McCroskey,9780808776468,1994,Communication,google_books,,,,RWgUKXU1Y8wC,,
32c955ae14e9,Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,9780814436479,2015,Communication,curated_seed,,,,,,
11e4d5dc299b,Library of Congress Subject Headings,Library of Congress,,2013,Communication,google_books,,,,KcYhCVL5DxIC,,
dc0131c69423,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,,2013,Communication,google_books,,,,0A-7AjM_XVQC,,
51ae9f6f204e,Mastering the Art of Effective Communication: Unlocking Success Through Powerful Connection,Eon Ranger,9798397446327,2023,Communication,google_books,"""Mastering the Art of Effective Communication: Unlocking Success Through Powerful Connection"" is a comprehensive guide that equips readers with the essential skills and strategies needed to excel in communication. With 21 insightful chapters, this book covers a wide range of topics, from understanding different communication styles and enhancing verbal and written communication skills to leveraging persuasion, emotional intelligence, and nonverbal cues. Readers will discover how effective communication can foster stronger relationships, drive leadership success, and navigate difficult situations. They will learn to overcome barriers, communicate in the digital age, and bridge cultural gaps. The book also delves into storytelling, crisis communication, ethics, and communication for networking, marketing, and branding. Each chapter is filled with practical advice, relatable stories, and actionable steps to help readers unlock their full communication potential. Whether in personal or professional contexts, readers will gain the confidence and skills to connect with others, achieve their goals, and make a lasting impact. As the future of communication unfolds, the book offers a glimpse into emerging trends and technologies, preparing readers for the ever-evolving landscape of communication.",,,nCnEEAAAQBAJ,,
7e85f65273ed,Messages,Matthew McKay,9781572248533,2009,Communication,google_books,"Many people assume that good communicators possess an intrinsic talent for speaking and listening to others, a gift that can't be learned or improved. The reality is that communication skills are developed with deliberate effort and practice, and learning to understand others and communicate your ideas more clearly will improve every facet of your life. Now in its third edition, Messages has helped thousands of readers cultivate better relationships with friends, family members, coworkers, and partners. You'll discover new skills to help you communicate your ideas more effectively and become a better listener. Learn how to: Read body language Develop skills for couples communication Negotiate and resolve conflicts Communicate with family members Handle group interactions Talk to children Master public speaking Prepare for job interviews Messages is a comprehensive handbook in a most important human skill-personal communication. Reading it made me feel like an enthusiastic partner in an achievable learning endeavor. -Virginia Satir, author of Peoplemaking and The New Peoplemaking",,,5XsPAEpOiUgC,,
5d4de583f096,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,9780062407801,2016,Communication,curated_seed,,,,,,
5cdcfe5e51d4,New Media Communication Skills for Engineers and IT Professionals: Trans-National and Trans-Cultural Demands,"Patil, Arun",9781466602441,2012,Communication,google_books,"The communication demands expected of today’s engineers and information technology professionals immersed in multicultural global enterprises are unsurpassed. New Media Communication Skills for Engineers and IT Professionals: Trans-National and Trans-Cultural Demands provides new and experienced practitioners, academics, employers, researchers, and students with international examples of best practices in new, as well as traditional, communication skills in increasingly trans-cultural, digitalized, hypertext environments. This book will be a valuable addition to the existing literature and resources in communication skills in both organizational and higher educational settings, giving readers comprehensive insights into the proficient use of a broad range of communication critical for effective professional participation in the globalized and digitized communication environments that characterize current engineering and IT workplaces.",,,eqGeBQAAQBAJ,,
6e2de0044517,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,9781892005281,2015,Communication,curated_seed,,,,,,
37fc37568cf5,On Dialogue,David Bohm,9780415336413,2004,Communication,curated_seed,,,,,,
febd52c779a4,PMP Project Management Professional Exam Study Guide,Kim Heldman,9780470152515,2007,Communication,google_books,"Get the most comprehensive PMP® Exam study package on the market! Prepare for the demanding PMP certification exam with this Deluxe Edition of our PMP: Project Management Professional Exam Study Guide, Fourth Edition. Featuring a bonus workbook with over 200 extra pages of exercises, this edition also includes six practice exams, over two hours of audio on CD to help you review, additional coverage for the CAPM® (Certified Associate in Project Management) exam, and much more. Full coverage of all exam objectives in a systematic approach, so you can be confident you're getting the instruction you need for the exam Bonus workbook section with over 200 pages of exercises to help you master essential charting and diagramming skills Practical hands-on exercises to reinforce critical skills Real-world scenarios that put what you've learned in the context of actual job roles Challenging review questions in each chapter to prepare you for exam day Exam Essentials, a key feature in each chapter that identifies critical areas you must become proficient in before taking the exam A handy tear card that maps every official exam objective to the corresponding chapter in the book, so you can track your exam prep objective by objective On the accompanying CD you'll find: Sybex test engine: Test your knowledge with advanced testing software. Includes all chapter review questions and bonus exams. Electronic flashcards: Reinforce your understanding with flashcards that can run on your PC, Pocket PC, or Palm handheld. Audio instruction: Fine-tune your project management skills with more than two hours of audio instruction from author Kim Heldman. Searchable and printable PDF of the entire book. Now you can study anywhere, any time, and approach the exam with confidence.",,,5zErZjTcXzEC,,
a1b31118b658,Personality and Interpersonal Communication,James C. McCroskey,,1987,Communication,google_books,"Should studies of personality be central to communication research? Should the usefulness of the individual differences approach to interpersonal communication be questioned? McCroskey and Daly - while not negating the value of situational research - stress the importance of communication research which focuses on individual differences, particularly personality-type differences. This comprehensive and in-depth study will show those who tend to overestimate the influence of the situation that the person is also a critical part of the communication equation.",,,YCpHAAAAMAAJ,,
93e11b72428c,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Scott,9781250103505,2017,Communication,curated_seed,,,,,,
58c7d0c56329,Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,9780143109792,2015,Communication,curated_seed,,,,,,
8a77dd5bcef3,Social Psychology in Sport,Sophia Jowett,9780736057806,2007,Communication,google_books,"The book is designed to allow readers to study issues in isolation or as part of a course or a module. The five main parts are Relationships in Sport, Coach Leadership and Group Dynamics, Motivational Climate, Key Social and Cognitive Processes in Sport, and The Athlete in the Wider Sport Environment. Each chapter is cross-referenced and provides a clear description of the topic and a concise theoretical overview along with a discussion of existing research. The chapters also introduce new research ideas, suggest practical research applications, and conclude with summaries and questions to help instructors engage the class in discussion and to help students follow the key points.""--Publisher's website.",,,t6sx0cj3GUoC,,
0531bc521034,Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,9780593243916,2024,Communication,curated_seed,,,,,,
9628926f9840,Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo,9781250041128,2014,Communication,curated_seed,,,,,,
e56f492d5014,Thanks for the Feedback: The Science and Art of Receiving Feedback Well,Douglas Stone,9780670014668,2014,Communication,curated_seed,,,,,,
02a6834814e5,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,9780978440749,2016,Communication,curated_seed,,,,,,
a6da9a2e8118,The Development of Communication Effectiveness in Children,Steven R. Asher,,1972,Communication,google_books,,,,urlnAAAAMAAJ,,
e4a81fd8b5f1,The Effectiveness of the Annual Report as a Communication Vehicle,David F. Hawkins,,1986,Communication,google_books,,,,U2APAQAAMAAJ,,
d95fffca4d52,The Elements of Effective Communication,W. A. Mambert,,1971,Communication,google_books,,,,OaTgAAAAMAAJ,,
bd474778218d,The Handbook of Communication Science,Charles R. Berger,9781412918138,2010,Communication,google_books,"In 1987, publication of the Handbook of Communication Science signaled the ""coming of age"" for one of the most exciting interdisciplinary fields in the social sciences. With the 2nd edition of The Handbook of Communication Science almost twenty years later, editors Charles R. Berger and David Roskos-Ewoldsen bring together again a stellar cast of communication scholars to contribute to this volume. Opening chapters address the methods of research and the history of the field. In subsequent parts, the authors examine the levels of analysis in communication (individual to macrosocial), the functions of communication (such as socialization and persuasion), and the contexts in which communication occurs (such as couples, families, organizations, and mass media).",,,gH7F_0kTQTEC,,
c6946ccb6c1c,The Principles and Practice of Nurse Education,Francis M. Quinn,9780748738953,2000,Communication,google_books,"This book, now in its fourth edition, has been updated to include material focused on evidence-based practice. Covering the complete spectrum of education as applied to nursing and health care professions, this book maintains the blend of theoretical principles and practical applications that has proved successful over the preceding three editions. Among the important developments discussed are the replacement of UKCC and the four National Boards with a new Nursing and Midwifery Council, the initiative to establish the National Institute for Clinical Excellence and the move to incorporate clinical effectiveness into the clinical governance framework. Frank Quinn brings together all the major changes that apply to educators within the National Health Service, making this essential textbook an authoritative source of guidance, up-to-date information and reference.",,,r0bqU8lgSXgC,,
cc36fb26b7cd,You're Not Listening: What You're Missing and Why It Matters,Kate Murphy,9781250297198,2020,Communication,curated_seed,,,,,,
85769fa84fb7,An Analysis of Conflict Management Techniques Used by Korean Employees and American Employees Working in Public and Private Organizations in the United States,Insuk Lee,,1992,Conflict Resolution,google_books,,,,teNPAAAAYAAJ,,
e39188c50da1,Cardozo Journal of Conflict Resolution,,,2006,Conflict Resolution,google_books,,,,H3NLAQAAIAAJ,,
d25f0880d9a7,Conflict Management for Managers,Susan S. Raines,9781118415481,2012,Conflict Resolution,google_books,"“Raines masterfully blends the latest empirical research on workplace conflict with practical knowledge, skills, and tools to effectively manage and prevent a wide range of conflict episodes. This is a highly applicable ‘top shelf book’ that will assist anyone from the aspiring manager to top level management and leadership in the public, private, and nonprofit sectors. It will also be a fast favorite of professors, trainers, and students of business and conflict management.” - Brian Polkinghorn, Distinguished Professor, Center for Conflict Resolution, Salisbury University. “With her broad dispute resolution, teaching, and editing experience, Susan Raines is uniquely qualified to organize what is known about conflict management in the workplace. She has succeeded in providing private, public, and nonprofit managers with accessible concepts and tools to deal effectively with the internal and external conflicts they must confront every day. Essential reading for all managers!” - Alan E. Gross, senior director, training coordinator, New York Peace Institute “After reading an advance copy of Raine’s impressive book, I can’t wait to begin to use it as a seminal text in my classes in organizational conflict. I am amazed at her ability to cover so well such disparate subjects as systems design, public policy disputes, small and large group processes, customer conflicts, conflicts in a unionized environment, and conflicts within regulatory contexts. Her user-friendly writing style is enhanced by her salient examples of exemplary and mistake-laden practices within public and private sector organizations. A ‘must-read’ for scholars, students, and practitioners interested in organizational conflict.” - Neil H. Katz, professor, Conflict Analysis and Resolution, Nova-Southeastern University “Conflict management skills are essential to a manager’s success. Raines, a leading scholar and practitioner, provides a comprehensive and strategic new guide to these critical skills and how to use them in any organization.” - Lisa Blomgren Bingham, Keller-Runden Professor of Public Service, School of Public and Environmental Affairs, Indiana University",,,xSFHAAAAQBAJ,,
d5da46837b21,Conflict Management in Organizations,Foundation for Research on Human Behavior,,1961,Conflict Resolution,google_books,,,,C_XuAAAAIAAJ,,
0c7bb4e1befe,Conflict Management in a New Era,Talat Ayesha Wizarat,,1997,Conflict Resolution,google_books,,,,u_xtAAAAMAAJ,,
514fc0e93119,Conflict Resolution for Holy Beings: Poems,Joy Harjo,9780393353631,2015,Conflict Resolution,curated_seed,,,,,,
70e81b644731,Conflict and Conflict Resolution Among Waliso Oromo of Eastern Macha,Dejene Gemechu,,2007,Conflict Resolution,google_books,,,,zHwMAQAAMAAJ,,
b4f5a3945c0a,Construction Conflict Management and Resolution,Peter Fenn,9780419181408,1992,Conflict Resolution,google_books,"This book brings together over 40 papers presented at the 1992 International Construction Conflict Management & Resolution Conference held in Manchester, UK. Six themes are covered, including alternative dispute resolution, conflict management, claims procedures, litigation and arbitration, international construction, and education and the future. With papers from arbitrators, architects, barristers, civil engineers, chartered surveyors and solicitors, this book represents the first multi-disciplinary body of knowledge on Construction Conflict and will act as a unique source of reference for both legal and construction professionals.",,,kdWgzDmYP5cC,,
53e6c2428ed7,Crucial Accountability: Tools for Resolving Violated Expectations,Kerry Patterson,9780071829311,2013,Conflict Resolution,curated_seed,,,,,,
6b7d176fc955,"Emotional Blackmail: When the People in Your Life Use Fear, Obligation, and Guilt to Manipulate You",Susan Forward,9780060928971,1997,Conflict Resolution,curated_seed,,,,,,
